Abaza 	ABA 	abq
Abkhazian 	ABK 	abk
Adyghe 	ADY 	ady
Afrikaans 	AFK 	afr
Afar 	AFR 	aar
Agaw 	AGW 	ahg
Alsatian 	ALS 	gsw
Altai 	ALT 	atv, alt
Amharic 	AMH 	amh
Phonetic transcription—Americanist conventions 	APPH
Arabic 	ARA 	ara
Aari 	ARI 	aiw
Arakanese 	ARK 	mhv, rmz, rki
Assamese 	ASM 	asm
Athapaskan 	ATH 	apk, apj, apl, apm, apw, nav, bea, sek, bcr, caf, crx, clc, gwi, haa, chp, dgr, scs, xsl, srs, ing, hoi, koy, hup, ktw, mvb, wlk, coq, ctc, gce, tol, tuu, kkz, tgx, tht, aht, tfn, taa, tau, tcb, kuu, tce, ttm, txc
Avar 	AVR 	ava
Awadhi 	AWA 	awa
Aymara 	AYM 	aym
Azeri 	AZE 	aze
Badaga 	BAD 	bfq
Baghelkhandi 	BAG 	bfy
Balkar 	BAL 	krc
Baule 	BAU 	bci
Berber 	BBR
Bench 	BCH 	bcq
Bible Cree 	BCR
Belarussian 	BEL 	bel
Bemba 	BEM 	bem
Bengali 	BEN 	ben
Bulgarian 	BGR 	bul
Bhili 	BHI 	bhi, bhb
Bhojpuri 	BHO 	bho
Bikol 	BIK 	bik
Bilen 	BIL 	byn
Blackfoot 	BKF 	bla
Balochi 	BLI 	bal
Balante 	BLN 	bjt, ble
Balti 	BLT 	bft
Bambara 	BMB 	bam
Bamileke 	BML
Bosnian 	BOS 	bos
Breton 	BRE 	bre
Brahui 	BRH 	brh
Braj Bhasha 	BRI 	bra
Burmese 	BRM 	mya
Bashkir 	BSH 	bak
Beti 	BTI 	btb
Catalan 	CAT 	cat
Cebuano 	CEB 	ceb
Chechen 	CHE 	che
Chaha Gurage 	CHG 	sgw
Chattisgarhi 	CHH 	hne
Chichewa 	CHI 	nya
Chukchi 	CHK 	ckt
Chipewyan 	CHP 	chp
Cherokee 	CHR 	chr
Chuvash 	CHU 	chv
Comorian 	CMR 	swb, wlc, wni, zdj
Coptic 	COP 	cop
Corsican 	COS 	cos
Cree 	CRE 	cre
Carrier 	CRR 	crx, caf
Crimean Tatar 	CRT 	crh
Church Slavonic 	CSL 	chu
Czech 	CSY 	ces
Danish 	DAN 	dan
Dargwa 	DAR 	dar
Woods Cree 	DCR 	cwd
German 	DEU 	deu
