cmap 	Character to glyph mapping
head 	Font header
hhea 	Horizontal header
hmtx 	Horizontal metrics
maxp 	Maximum profile
name 	Naming table
OS/2 	OS/2 and Windows specific metrics
post 	PostScript information
cvt 	Control Value Table
fpgm 	Font program
glyf 	Glyph data
loca 	Index to location
prep 	CVT Program
gasp 	Grid-fitting/Scan-conversion (optional table)
CFF 	PostScript font program (compact font format)
VORG 	Vertical Origin (optional table)
SVG 	The SVG (Scalable Vector Graphics) table
EBDT 	Embedded bitmap data
EBLC 	Embedded bitmap location data
EBSC 	Embedded bitmap scaling data
CBDT 	Color bitmap data
CBLC 	Color bitmap location data
BASE 	Baseline data
GDEF 	Glyph definition data
GPOS 	Glyph positioning data
GSUB 	Glyph substitution data
JSTF 	Justification data
MATH 	Math layout data
DSIG 	Digital signature
hdmx 	Horizontal device metrics
kern 	Kerning
LTSH 	Linear threshold data
PCLT 	PCL 5 data
VDMX 	Vertical device metrics
vhea 	Vertical Metrics header
vmtx 	Vertical Metrics
COLR 	Color table
CPAL 	Color palette table
